#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2023 05 19 09 45 00 1 5657.769
2023 05 19 09 30 00 1 5657.671
2023 05 19 09 15 00 1 5657.589
2023 05 19 09 00 00 1 5657.524
2023 05 19 08 45 00 1 5657.479
2023 05 19 08 30 00 1 5657.454
2023 05 19 08 15 00 1 5657.450
2023 05 19 08 00 00 1 5657.464
2023 05 19 07 45 00 1 5657.503
2023 05 19 07 30 00 1 5657.562
2023 05 19 07 15 00 1 5657.639
2023 05 19 06 59 00 2 5657.739
2023 05 19 06 58 00 2 5657.747
2023 05 19 06 57 00 2 5657.753
2023 05 19 06 56 00 2 5657.761
2023 05 19 06 55 00 2 5657.768
2023 05 19 06 54 00 2 5657.776
2023 05 19 06 53 00 2 5657.783
2023 05 19 06 52 00 2 5657.791
2023 05 19 06 51 00 2 5657.798
2023 05 19 06 50 00 2 5657.806
2023 05 19 06 49 00 2 5657.813
2023 05 19 06 48 00 2 5657.822
2023 05 19 06 47 00 2 5657.829
2023 05 19 06 46 00 2 5657.838
2023 05 19 06 45 00 2 5657.845
2023 05 19 06 44 00 2 5657.853
2023 05 19 06 43 00 2 5657.862
2023 05 19 06 42 00 2 5657.870
2023 05 19 06 41 00 2 5657.878
2023 05 19 06 40 00 2 5657.886
2023 05 19 06 39 00 2 5657.893
2023 05 19 06 38 00 2 5657.897
2023 05 19 06 37 00 2 5657.901
2023 05 19 06 36 00 2 5657.914
2023 05 19 06 35 00 2 5657.929
2023 05 19 06 34 00 2 5657.938
2023 05 19 06 33 00 2 5657.947
2023 05 19 06 32 00 2 5657.956
2023 05 19 06 31 00 2 5657.964
2023 05 19 06 30 00 2 5657.974
2023 05 19 06 29 00 2 5657.982
2023 05 19 06 28 00 2 5657.991
2023 05 19 06 27 00 2 5658.001
2023 05 19 06 26 00 2 5658.010
2023 05 19 06 25 00 2 5658.019
2023 05 19 06 24 00 2 5658.027
2023 05 19 06 23 00 2 5658.036
2023 05 19 06 22 00 2 5658.040
2023 05 19 06 21 00 2 5658.047
2023 05 19 06 20 00 2 5658.060
2023 05 19 06 19 00 2 5658.075
2023 05 19 06 18 00 2 5658.086
2023 05 19 06 17 00 2 5658.096
2023 05 19 06 16 00 2 5658.105
2023 05 19 06 15 00 2 5658.115
2023 05 19 06 14 00 2 5658.125
2023 05 19 06 13 00 2 5658.135
2023 05 19 06 12 00 2 5658.145
2023 05 19 06 11 00 2 5658.154
2023 05 19 06 10 00 2 5658.162
2023 05 19 06 09 00 2 5658.170
2023 05 19 06 08 00 2 5658.179
2023 05 19 06 07 00 2 5658.192
2023 05 19 06 06 00 2 5658.199
2023 05 19 06 05 00 2 5658.205
2023 05 19 06 04 00 2 5658.219
2023 05 19 06 03 00 2 5658.232
2023 05 19 06 02 00 2 5658.243
2023 05 19 06 01 00 2 5658.258
2023 05 19 06 00 00 2 5658.269
2023 05 19 05 59 00 2 5658.281
2023 05 19 05 58 00 2 5658.291
2023 05 19 05 57 00 2 5658.302
2023 05 19 05 56 00 2 5658.313
2023 05 19 05 55 00 2 5658.323
2023 05 19 05 54 00 2 5658.334
2023 05 19 05 53 00 2 5658.345
2023 05 19 05 52 00 2 5658.356
2023 05 19 05 51 00 2 5658.365
2023 05 19 05 50 00 2 5658.372
2023 05 19 05 49 00 2 5658.379
2023 05 19 05 48 00 2 5658.394
2023 05 19 05 47 00 2 5658.411
2023 05 19 05 46 00 2 5658.423
2023 05 19 05 45 00 2 5658.434
2023 05 19 05 44 00 2 5658.446
2023 05 19 05 43 00 2 5658.458
2023 05 19 05 42 00 2 5658.469
2023 05 19 05 41 00 2 5658.479
2023 05 19 05 40 00 2 5658.492
2023 05 19 05 39 00 2 5658.503
2023 05 19 05 38 00 2 5658.514
2023 05 19 05 37 00 2 5658.526
2023 05 19 05 36 00 2 5658.537
2023 05 19 05 35 00 2 5658.547
2023 05 19 05 34 00 2 5658.554
2023 05 19 05 33 00 2 5658.563
2023 05 19 05 32 00 2 5658.578
2023 05 19 05 31 00 2 5658.595
2023 05 19 05 30 00 2 5658.607
2023 05 19 05 29 00 2 5658.619
2023 05 19 05 28 00 2 5658.630
2023 05 19 05 27 00 2 5658.642
2023 05 19 05 26 00 2 5658.654
2023 05 19 05 25 00 2 5658.665
2023 05 19 05 24 00 2 5658.678
2023 05 19 05 23 00 2 5658.689
2023 05 19 05 22 00 2 5658.701
2023 05 19 05 21 00 2 5658.712
2023 05 19 05 20 00 2 5658.723
2023 05 19 05 19 00 2 5658.735
2023 05 19 05 18 00 2 5658.742
2023 05 19 05 17 00 2 5658.750
2023 05 19 05 16 00 2 5658.765
2023 05 19 05 15 00 2 5658.783
2023 05 19 05 14 00 2 5658.796
2023 05 19 05 13 00 2 5658.807
2023 05 19 05 12 00 2 5658.819
2023 05 19 05 11 00 2 5658.831
2023 05 19 05 10 00 2 5658.841
2023 05 19 05 09 00 2 5658.851
2023 05 19 05 08 00 2 5658.862
2023 05 19 05 07 00 2 5658.877
2023 05 19 05 06 00 2 5658.886
2023 05 19 05 05 00 2 5658.896
2023 05 19 05 04 00 2 5658.912
2023 05 19 05 03 00 2 5658.920
