#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2019 07 14 06 38 00 2 5657.536
2019 07 14 06 37 00 2 5657.537
2019 07 14 06 36 00 2 5657.538
2019 07 14 06 35 00 2 5657.539
2019 07 14 06 34 00 2 5657.539
2019 07 14 06 33 00 2 5657.538
2019 07 14 06 32 00 2 5657.542
2019 07 14 06 31 00 2 5657.544
2019 07 14 06 30 00 2 5657.546
2019 07 14 06 30 00 1 9999.000
2019 07 14 06 29 00 2 5657.547
2019 07 14 06 28 00 2 5657.549
2019 07 14 06 27 00 2 5657.550
2019 07 14 06 26 00 2 5657.550
2019 07 14 06 25 00 2 5657.551
2019 07 14 06 24 00 2 5657.554
2019 07 14 06 23 00 2 5657.557
2019 07 14 06 22 00 2 5657.559
2019 07 14 06 21 00 2 5657.561
2019 07 14 06 20 00 2 5657.563
2019 07 14 06 19 00 2 5657.564
2019 07 14 06 18 00 2 5657.564
2019 07 14 06 17 00 2 5657.566
2019 07 14 06 16 00 2 5657.569
2019 07 14 06 15 00 2 5657.574
2019 07 14 06 15 00 1 9999.000
2019 07 14 06 14 00 2 5657.575
2019 07 14 06 13 00 2 5657.579
2019 07 14 06 12 00 2 5657.579
2019 07 14 06 11 00 2 5657.582
2019 07 14 06 10 00 2 5657.583
2019 07 14 06 09 00 2 5657.585
2019 07 14 06 08 00 2 5657.588
2019 07 14 06 07 00 2 5657.591
2019 07 14 06 06 00 2 5657.595
2019 07 14 06 05 00 2 5657.598
2019 07 14 06 04 00 2 5657.599
2019 07 14 06 03 00 2 5657.601
2019 07 14 06 02 00 2 5657.606
2019 07 14 06 01 00 2 5657.606
2019 07 14 06 00 00 2 5657.611
2019 07 14 06 00 00 1 9999.000
2019 07 14 05 59 00 2 5657.612
2019 07 14 05 58 00 2 5657.619
2019 07 14 05 57 00 2 5657.623
2019 07 14 05 56 00 2 5657.624
2019 07 14 05 55 00 2 5657.627
2019 07 14 05 54 00 2 5657.630
2019 07 14 05 53 00 2 5657.632
2019 07 14 05 52 00 2 5657.635
2019 07 14 05 51 00 2 5657.639
2019 07 14 05 50 00 2 5657.641
2019 07 14 05 49 00 2 5657.646
2019 07 14 05 48 00 2 5657.648
2019 07 14 05 47 15 3 5657.663
2019 07 14 05 47 00 3 5657.641
2019 07 14 05 47 00 2 5657.653
2019 07 14 05 46 45 3 5657.663
2019 07 14 05 46 30 3 5657.676
2019 07 14 05 46 15 3 5657.654
2019 07 14 05 46 00 3 5657.652
2019 07 14 05 46 00 2 5657.661
2019 07 14 05 45 45 3 5657.643
2019 07 14 05 45 30 3 5657.676
2019 07 14 05 45 15 3 5657.656
2019 07 14 05 45 00 3 5657.668
2019 07 14 05 45 00 2 5657.661
2019 07 14 05 45 00 1 9999.000
2019 07 14 05 44 45 3 5657.676
2019 07 14 05 44 30 3 5657.649
2019 07 14 05 44 15 3 5657.705
2019 07 14 05 44 00 3 5657.617
2019 07 14 05 44 00 2 5657.662
2019 07 14 05 43 45 3 5657.649
2019 07 14 05 43 30 3 5657.672
2019 07 14 05 43 00 2 5657.670
2019 07 14 05 42 00 2 5657.682
2019 07 14 05 41 00 2 5657.678
2019 07 14 05 40 00 2 5657.683
2019 07 14 05 39 00 2 5657.688
2019 07 14 05 38 00 2 5657.691
2019 07 14 05 37 00 2 5657.696
2019 07 14 05 36 00 2 5657.701
2019 07 14 05 35 00 2 5657.704
